"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"955","8M71289",2205,2205,"f",26,1,"Gjerøy",2010,2011,0,2,2,1,1,1,2,1,"26 2010","8M71289",18.97,30.9,3.4307561839037,2.94285878394692,0
"956","8M71290",2206,2206,"f",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M71290",20.76,32.25,3.47351804324178,3.03302805829769,0
"957","8M71303",2217,2217,"f",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M71303",18.41,28.85,3.36210999295411,2.91289399524499,0
"958","8M71307",2221,2221,"m",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M71307",19.115,28.7,3.35689712276558,2.95047336714838,0
"959","8M71312",2224,2224,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71312",19.95,32.4,3.47815842279828,2.99322914333587,0
"960","8M71318",2229,2229,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71318",18.6,31.2,3.44041809481544,2.92316158071916,0
"961","8M71321",2230,2230,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71321",21.04,34.65,3.54529772563591,3.04642538786951,0
"962","8M71322",2231,2231,"m",27,1,"Hestmannøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M71322",20.5,33.3,3.5055573969864,3.02042488614436,0.693147180559945
"963","8M71505",2243,2243,"m",38,1,"Aldra",2011,2011,0,2,2,1,1,1,2,1,"38 2011","8M71505",20.135,31.65,3.45473814859019,3.00245959430342,0
"964","8M71511",2246,2246,"m",22,2,"Myken",2011,2011,0,1,1,1,1,1,1,1,"22 2011","8M71511",19.27,32.75,3.48890296208126,2.95854948242628,0
"965","8M71596",2260,2260,"f",26,1,"Gjerøy",2011,2011,0,4,4,1,1,1,4,1,"26 2011","8M71596",19.25,34,3.52636052461616,2.95751106073379,0
"967","8M71831",2289,2289,"m",26,1,"Gjerøy",2011,2012,0,2,2,1,1,1,2,1,"26 2011","8M71831",19.72,27.9,3.32862668882732,2.98163334917449,0
"969","8M71864",2293,2293,"m",27,1,"Hestmannøy",2011,2011,0,1,1,1,1,1,1,1,"27 2011","8M71864",18.46,29.4,3.38099467434464,2.91560622907471,0
"970","8M72001",2300,2300,"f",23,2,"Træna",2010,2010,0,2,2,1,1,1,2,1,"23 2010","8M72001",19.01,30.15,3.40618492317319,2.94496515650034,0
"971","8M72013",2304,2304,"f",24,2,"Selvær",2010,2010,0,3,3,1,1,1,3,1,"24 2010","8M72013",19.02,27.2,3.30321697330195,2.94549105711724,0
"972","8M72014",2305,2305,"m",24,2,"Selvær",2010,2010,0,1,1,1,1,1,1,1,"24 2010","8M72014",19.05,31.1,3.43720781918519,2.94706710157271,0
