"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1201",1201,"8981024","f",27,1,"Hestmannøy",2005,2008,0,2,1.46557123187677,0.770982798781042,1,3,0.666666666666667,2,"27 2005","8981024"
"1202",1202,"8981025","m",27,1,"Hestmannøy",2005,2009,0,2,1.18920711500272,0.371579315163934,4,4,0.5,4,"27 2005","8981025"
"1205",1205,"8981029","f",20,1,"Nesøy",2005,2006,0,1,1,1,1,1,1,1,"20 2005","8981029"
"1206",1206,"8981030","m",20,1,"Nesøy",2005,2007,0,1,1,0.707106781186547,2,2,0.5,2,"20 2005","8981030"
"1207",1207,"8981031","m",26,1,"Gjerøy",2005,2009,0,6,2.80398911094592,0.671177305392796,1,4,1.5,2.33333333333333,"26 2005","8981031"
"1209",1209,"8981033","m",26,1,"Gjerøy",2005,2007,0,4,2.30277563773199,0.60889367553119,1,2,2,1.75,"26 2005","8981033"
"1211",1211,"8981038","m",38,1,"Aldra",2005,2009,0,7,3.84732210186307,0.748373510921832,1,4,1.75,1.71428571428571,"38 2005","8981038"
"1216",1216,"8981248","m",27,1,"Hestmannøy",2005,2009,0,3,1.61803398874989,0.601500955007546,1,4,0.75,2.66666666666667,"27 2005","8981248"
"1220",1220,"8981264","f",27,1,"Hestmannøy",2005,2006,0,6,6,1,1,1,6,1,"27 2005","8981264"
"1221",1221,"8981265","m",27,1,"Hestmannøy",2005,2008,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"27 2005","8981265"
"1222",1222,"8981266","f",27,1,"Hestmannøy",2005,2006,0,3,3,1,1,1,3,1,"27 2005","8981266"
"1223",1223,"8981267","f",27,1,"Hestmannøy",2005,2008,0,7,3.1527576020104,0.605086870313674,1,3,2.33333333333333,2,"27 2005","8981267"
"1224",1224,"8981268","m",27,1,"Hestmannøy",2005,2008,0,4,1.76929235423863,0.430005547814934,2,3,1.33333333333333,2.5,"27 2005","8981268"
"1225",1225,"8981270","m",27,1,"Hestmannøy",2005,2007,0,3,1.73205080756888,0.5,2,2,1.5,2,"27 2005","8981270"
