"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"2388",2388,"8M72605","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72605"
"2391",2391,"8M72609","f",27,1,"Hestmannøy",2010,2012,0,4,4,1,1,2,2,1,"27 2010","8M72609"
"2392",2392,"8M72610","m",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M72610"
"2395",2395,"8M72617","f",26,1,"Gjerøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"26 2010","8M72617"
"2401",2401,"8M72640","f",28,1,"Indre-Kvarøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"28 2010","8M72640"
"2408",2408,"8M72654","m",20,1,"Nesøy",2010,2011,0,2,2,1,1,1,2,1,"20 2010","8M72654"
"2409",2409,"8M72656","f",20,1,"Nesøy",2010,2012,0,2,2,1,1,2,1,1,"20 2010","8M72656"
"2412",2412,"8M72664","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72664"
"2415",2415,"8M72673","m",26,1,"Gjerøy",2010,2011,0,1,1,1,1,1,1,1,"26 2010","8M72673"
"2418",2418,"8M72677","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72677"
"2421",2421,"8M72680","m",27,1,"Hestmannøy",2010,2012,0,1,1,1,1,2,0.5,1,"27 2010","8M72680"
"2429",2429,"8M72736","m",26,1,"Gjerøy",2010,2011,0,4,4,1,1,1,4,1,"26 2010","8M72736"
"2430",2430,"8M72737","f",26,1,"Gjerøy",2010,2012,0,5,2.56155281280883,0.539285596264911,1,2,2.5,1.8,"26 2010","8M72737"
"2431",2431,"8M72739","f",26,1,"Gjerøy",2010,2012,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2010","8M72739"
"2433",2433,"8M72745","f",22,2,"Myken",2010,2011,0,2,2,1,1,1,2,1,"22 2010","8M72745"
"2441",2441,"8M72792","m",28,1,"Indre-Kvarøy",2010,2012,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2010","8M72792"
"2443",2443,"8M72797","m",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M72797"
"2444",2444,"8M72805","f",26,1,"Gjerøy",2010,2011,0,3,3,1,1,1,3,1,"26 2010","8M72805"
"2451",2451,"8M72832","m",28,1,"Indre-Kvarøy",2010,2012,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"28 2010","8M72832"
"2452",2452,"8M72848","f",28,1,"Indre-Kvarøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"28 2010","8M72848"
"2459",2459,"8M72867","f",28,1,"Indre-Kvarøy",2010,2012,0,4,2,0.577350269189626,1,3,1.33333333333333,2.25,"28 2010","8M72867"
"2460",2460,"8M72877","f",27,1,"Hestmannøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2010","8M72877"
"2463",2463,"8M72881","m",27,1,"Hestmannøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2010","8M72881"
"2464",2464,"8M72882","f",26,1,"Gjerøy",2010,2012,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2010","8M72882"
"2470",2470,"8M72897","m",28,1,"Indre-Kvarøy",2010,2012,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2010","8M72897"
"2475",2475,"8M72909","f",27,1,"Hestmannøy",2010,2010,0,2,2,1,1,1,2,1,"27 2010","8M72909"
"2477",2477,"8M72914","f",27,1,"Hestmannøy",2010,2012,0,1,1,1,1,2,0.5,1,"27 2010","8M72914"
"2481",2481,"8M72928","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72928"
"2482",2482,"8M72929","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72929"
"2493",2493,"8M72956","m",26,1,"Gjerøy",2010,2012,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2010","8M72956"
"2497",2497,"8M72965","m",20,1,"Nesøy",2010,2011,0,1,1,1,1,1,1,1,"20 2010","8M72965"
"2498",2498,"8M72969","m",27,1,"Hestmannøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M72969"
"2500",2500,"8M72972","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72972"
"2506",2506,"8M72990","f",26,1,"Gjerøy",2010,2012,0,5,2.83117720720834,0.74214433834046,1,3,1.66666666666667,1.8,"26 2010","8M72990"
"2523",2523,"8N05058","f",26,1,"Gjerøy",2011,2012,0,2,2,1,1,1,2,1,"26 2011","8N05058"
"2533",2533,"8N05437","m",28,1,"Indre-Kvarøy",2011,2012,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2011","8N05437"
"2540",2540,"8N05457","f",26,1,"Gjerøy",2011,2011,0,1,1,1,1,1,1,1,"26 2011","8N05457"
"2549",2549,"8N05531","m",27,1,"Hestmannøy",2012,2012,0,3,3,1,1,1,3,1,"27 2012","8N05531"
"2558",2558,"8N05708","f",26,1,"Gjerøy",2012,2012,0,1,1,1,1,1,1,1,"26 2012","8N05708"
"2561",2561,"8N05713","f",28,1,"Indre-Kvarøy",2012,2012,0,1,1,1,1,1,1,1,"28 2012","8N05713"
"2571",2571,"8N05796","f",38,1,"Aldra",2012,2012,0,1,1,1,1,1,1,1,"38 2012","8N05796"
"2577",2577,"8N05827","f",26,1,"Gjerøy",2011,2012,0,2,2,1,1,1,2,1,"26 2011","8N05827"
"2586",2586,"8N05846","m",27,1,"Hestmannøy",2011,2012,0,1,1,1,1,1,1,1,"27 2011","8N05846"
"2588",2588,"8N05851","m",20,1,"Nesøy",2011,2012,0,2,2,1,1,1,2,1,"20 2011","8N05851"
"2589",2589,"8N06011","f",23,2,"Træna",2011,2011,0,2,2,1,1,1,2,1,"23 2011","8N06011"
"2591",2591,"8N06020","m",24,2,"Selvær",2011,2011,0,2,2,1,1,1,2,1,"24 2011","8N06020"
"2594",2594,"8N06029","m",24,2,"Selvær",2011,2011,0,1,1,1,1,1,1,1,"24 2011","8N06029"
"2605",2605,"8N06128","m",23,2,"Træna",2011,2012,0,1,1,1,1,1,1,1,"23 2011","8N06128"
"2622",2622,"8N06290","f",23,2,"Træna",2011,2012,0,1,1,1,1,1,1,1,"23 2011","8N06290"
"2635",2635,"8N06360","m",27,1,"Hestmannøy",2011,2011,0,1,1,1,1,1,1,1,"27 2011","8N06360"
"2668",2668,"8N06567","m",26,1,"Gjerøy",2011,2012,0,1,1,1,1,1,1,1,"26 2011","8N06567"
"2674",2674,"8N06736","m",27,1,"Hestmannøy",2011,2012,0,1,1,1,1,1,1,1,"27 2011","8N06736"
"2680",2680,"8N06782","m",26,1,"Gjerøy",2011,2012,0,4,2,0.447213595499958,2,2,2,2,"26 2011","8N06782"
"2711",2711,"8N06979","f",26,1,"Gjerøy",2011,2012,0,1,1,1,1,1,1,1,"26 2011","8N06979"
"2714",2714,"8N06999","f",28,1,"Indre-Kvarøy",2011,2012,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2011","8N06999"
